央视频道,#genre#
辽宁卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=600572&netType=0&sid=5910022198&pid=2028597139&timestamp=20260813182159&Channel_ID=0116_2600034600-99000-201600010006561&ProgramID=630291707&ParentNodeID=-99&assertID=5910022198&client_ip=125.211.195.181&SecurityKey=20260813182159&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=cb95307f5f608dbf96149165b0fd7a42&sv=10004&ct=android
辽宁卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/lnwshd265/54/20200407/01.m3u8?&HlsSubType=&encrypt=
东南卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/dongnanws/51/20230724/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=600717&netType=0&sid=5910022182&pid=2028597139&timestamp=20260813182125&Channel_ID=0116_2600034600-99000-201600010040142&ProgramID=849116810&ParentNodeID=-99&assertID=5910022182&client_ip=125.211.195.181&SecurityKey=20260813182125&promotionId=&mvid=5900006229&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=58ac27c1a12a00f1ec13457a0fea2d1b&sv=10004&ct=android
东南卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/dongnanws/51/20230724/01.m3u8?&HlsSubType=&encrypt=
重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub
重庆卫视,https://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/chongqing/1000/01.m3u8?&HlsSubType=&encrypt=
吉林卫视,https://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/jilin/1000/01.m3u8?&HlsSubType=&encrypt=
江西卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/jxwshd/51/20190820/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=600633&netType=0&sid=5910021492&pid=2028597139&timestamp=20260813182311&Channel_ID=0116_2600034600-99000-201600010015870&ProgramID=783847495&ParentNodeID=-99&assertID=5910021492&client_ip=125.211.195.183&SecurityKey=20260813182311&promotionId=&mvid=5900004351&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ff4649ff5978ed04e056d6840b213f37&sv=10004&ct=android
兵团卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/btws/51/20250804/01.m3u8?&HlsSubType=&encrypt=
广东地区,#genre#
